player,player_id,mu,sigma,form,tss_ott,tss_app,tss_arg,tss_putt,TalentScore,Tier,Overall2K,Driving2K,Approach2K,ShortGame2K,Putting2K,Consistency2K,DogFactor2K
Gary Woodland,31323,0.19675,0.35965075652174944,0.19675,0.248,0.364,-0.429,0.229,0.19675,A,82,90,86,64,84,83,87
Steven Fisk,57123,0.19095,0.37838164155607057,0.19095,0.392,0.202,0.197,-0.471,0.19095,A,82,92,83,85,70,82,87
Michael Thorbjornsen,57364,0.18874999999999997,0.3565674316778431,0.18874999999999997,0.588,0.123,-0.226,-0.091,0.18874999999999997,A,82,96,82,71,78,83,87
Joseph Bramlett,34255,0.18669999999999998,0.579508052863231,0.18669999999999998,0.308,0.281,0.349,-0.845,0.18669999999999998,A,82,91,84,90,62,71,81
Alex Smalley,46340,0.18309999999999998,0.16607628769132976,0.18309999999999998,0.409,0.083,0.125,0.043,0.18309999999999998,A,82,92,82,83,80,93,93
Emiliano Grillo,31646,0.181,0.264604106796046,0.181,0.184,0.303,-0.261,0.286,0.181,A,82,89,85,70,85,88,90
Adam Scott,24502,0.1754,0.19211801928328673,0.1754,0.348,0.17,0.03,-0.1,0.1754,A,82,91,83,79,77,92,93
Sami Valimaki,52666,0.17300000000000004,0.44370363607555297,0.17300000000000004,-0.301,0.516,-0.158,0.548,0.17300000000000004,A,82,80,88,73,90,79,85
Thomas Rosenmueller,60882,0.16975,0.5154120519868868,0.16975,0.353,0.406,-0.385,-0.611,0.16975,A,82,91,86,65,67,75,83
Davis Thompson,58168,0.1689,0.31138989493345265,0.1689,0.463,0.087,0.137,-0.297,0.1689,A,82,93,82,83,73,86,89
Chris Gotterup,59095,0.1687,0.28019814417658084,0.1687,0.566,-0.013,0.029,0.004,0.1687,A,82,95,80,79,79,87,90
Ludvig Åberg,52955,0.1629,0.2746141232104909,0.1629,0.524,0.037,-0.107,0.051,0.1629,A,82,94,81,75,80,88,90
Greyson Sigg,51890,0.15680000000000002,0.3494809246105811,0.15680000000000002,0.051,0.392,0.07,-0.454,0.15680000000000002,A,82,86,86,81,70,84,88
Henrik Norlander,30163,0.15525000000000003,0.4595007254256153,0.15525000000000003,-0.297,0.667,-0.214,-0.237,0.15525000000000003,A,81,80,90,71,75,78,84
Patrick Fishburn,54576,0.15195,0.1357531460654473,0.15195,0.263,0.144,-0.059,0.171,0.15195,A,81,90,82,76,83,95,93
Antoine Rozner,46646,0.1476,0.3733241442321494,0.1476,0.065,0.462,-0.32,-0.318,0.1476,A,81,87,87,68,73,82,86
Ricky Castillo,59440,0.1448,0.20626196934965982,0.1448,0.36,0.06,0.156,-0.136,0.1448,A,81,92,81,84,77,91,91
Ryan Fox,29936,0.14470000000000002,0.15966945021929943,0.14470000000000002,-0.047,0.303,0.021,0.193,0.14470000000000002,A,81,85,85,79,83,94,93
Luke Clanton,66743,0.14109999999999998,0.3076404828150331,0.14109999999999998,0.313,0.243,-0.235,-0.269,0.14109999999999998,A,81,91,84,70,74,86,88
Mac Meissner,59143,0.14020000000000002,0.24416592718886887,0.14020000000000002,-0.17,0.34,0.276,-0.032,0.14020000000000002,A,81,82,85,88,79,89,90
Zac Blair,40058,0.13930000000000003,0.359557598538352,0.13930000000000003,-0.286,0.537,-0.017,-0.14,0.13930000000000003,A,81,80,88,78,77,83,87
Matt Fitzpatrick,40098,0.1331,0.11013136095893244,0.1331,0.103,0.123,0.095,0.326,0.1331,A,81,87,82,82,86,96,94
Max McGreevy,51950,0.129,0.23366642891095846,0.129,0.402,0.072,-0.108,-0.078,0.129,A,81,92,81,75,78,90,91
Kevin Roy,39335,0.12134999999999999,0.13188505095979097,0.12134999999999999,0.289,0.032,0.011,0.186,0.12134999999999999,A,81,90,81,79,83,95,93
Harry Hall,57975,0.11735000000000001,0.44013511183120424,0.11735000000000001,-0.069,-0.017,0.384,0.881,0.11735000000000001,A,81,84,80,91,97,79,84
Jesper Svensson,57586,0.11695000000000003,0.3056015924914878,0.11695000000000003,0.553,-0.127,0.092,-0.056,0.11695000000000003,A,81,95,79,81,78,86,88
J.T. Poston,49771,0.11380000000000001,0.0690965508063415,0.11380000000000001,0.158,0.076,0.188,0.04,0.11380000000000001,A,81,88,82,85,80,99,96
Austin Eckroat,57362,0.11305000000000003,0.29921048889814456,0.11305000000000003,0.213,0.252,-0.397,-0.047,0.11305000000000003,A,80,89,84,65,78,86,87
Ryo Hisatsune,51287,0.11164999999999999,0.17521296565418135,0.11164999999999999,0.143,0.151,0.142,-0.205,0.11164999999999999,A,80,88,83,83,75,93,91
