hole,par,hole_type,player_name,expected_sg_vs_field_per_round
2,5,reachable_par5_risky,Rory McIlroy,0.4120711639929442
2,5,reachable_par5_risky,Kurt Kitayama,0.21518424163716401
2,5,reachable_par5_risky,Ben Griffin,0.35554976060229254
2,5,reachable_par5_risky,Aaron Rai,0.19106373501117943
2,5,reachable_par5_risky,Si Woo Kim,0.1442827005073902
2,5,reachable_par5_risky,Nicolai Højgaard,-0.05100055032499678
2,5,reachable_par5_risky,Kevin Yu,0.11491587839681977
2,5,reachable_par5_risky,Ben Kohles,-0.1777724924330769
2,5,reachable_par5_risky,Daniel Berger,-0.017392770727896575
2,5,reachable_par5_risky,Keegan Bradley,0.31597539819736253
2,5,reachable_par5_risky,Doug Ghim,-0.22183694403612916
2,5,reachable_par5_risky,Xander Schauffele,-0.05167766812973168
2,5,reachable_par5_risky,Akshay Bhatia,-0.11179955986380744
2,5,reachable_par5_risky,Robert MacIntyre,0.27044738675914676
2,5,reachable_par5_risky,Pierceson Coody,0.05454364456957105
2,5,reachable_par5_risky,Corey Conners,0.06879902822335528
2,5,reachable_par5_risky,Lee Hodges,0.08640920985590113
2,5,reachable_par5_risky,Jordan Spieth,0.32839962377422127
2,5,reachable_par5_risky,Justin Thomas,0.2610583076469544
2,5,reachable_par5_risky,Lucas Glover,-0.04837866994607178
2,5,reachable_par5_risky,Hideki Matsuyama,0.023898677879660518
2,5,reachable_par5_risky,Victor Perez,-0.09101483288085542
2,5,reachable_par5_risky,Ryan Gerard,-0.08188678611909689
2,5,reachable_par5_risky,Bud Cauley,0.10337068965522499
2,5,reachable_par5_risky,Nick Taylor,0.054569890010286275
2,5,reachable_par5_risky,Taylor Pendrith,0.07971003631729344
2,5,reachable_par5_risky,Keith Mitchell,-0.02235556229422556
2,5,reachable_par5_risky,Maverick McNealy,0.04654192042070182
2,5,reachable_par5_risky,Michael Kim,0.07608651439436864
2,5,reachable_par5_risky,Chris Kirk,-0.05238606448373511
2,5,reachable_par5_risky,Thorbjørn Olesen,0.12819411382458154
2,5,reachable_par5_risky,Gary Woodland,-0.23724292948017964
2,5,reachable_par5_risky,Steven Fisk,-0.07037356602346068
2,5,reachable_par5_risky,Michael Thorbjornsen,-0.11402614706294373
2,5,reachable_par5_risky,Joseph Bramlett,-0.24416153805242635
2,5,reachable_par5_risky,Alex Smalley,0.13299161085651878
2,5,reachable_par5_risky,Emiliano Grillo,-0.11666864497740431
2,5,reachable_par5_risky,Adam Scott,0.0366972949320983
2,5,reachable_par5_risky,Sami Valimaki,-0.32903862756752056
2,5,reachable_par5_risky,Thomas Rosenmueller,-0.46849112932362424
2,5,reachable_par5_risky,Davis Thompson,-0.013521155490725757
2,5,reachable_par5_risky,Chris Gotterup,0.029032379459534532
2,5,reachable_par5_risky,Ludvig Åberg,-0.029714766690190304
2,5,reachable_par5_risky,Greyson Sigg,-0.21932344397797335
2,5,reachable_par5_risky,Henrik Norlander,-0.5000387291653764
2,5,reachable_par5_risky,Patrick Fishburn,0.008572100321990744
2,5,reachable_par5_risky,Antoine Rozner,-0.39281465000944027
2,5,reachable_par5_risky,Ricky Castillo,0.036837212605995366
2,5,reachable_par5_risky,Ryan Fox,-0.03983457299812449
2,5,reachable_par5_risky,Luke Clanton,-0.24360487190793956
2,5,reachable_par5_risky,Mac Meissner,-0.09643664838883724
2,5,reachable_par5_risky,Zac Blair,-0.3463487444645004
2,5,reachable_par5_risky,Matt Fitzpatrick,0.05966015080283663
2,5,reachable_par5_risky,Max McGreevy,-0.09049150585930528
2,5,reachable_par5_risky,Kevin Roy,0.023595268116408604
2,5,reachable_par5_risky,Harry Hall,-0.07541788858572145
2,5,reachable_par5_risky,Jesper Svensson,-0.03595664988060098
2,5,reachable_par5_risky,J.T. Poston,0.11286371326033909
2,5,reachable_par5_risky,Austin Eckroat,-0.3542663796987688
2,5,reachable_par5_risky,Ryo Hisatsune,-0.06396204481013272
2,5,reachable_par5_risky,Jake Knapp,-0.10535016281671128
2,5,reachable_par5_risky,Rickie Fowler,-0.04562459713927507
2,5,reachable_par5_risky,Cameron Young,-0.1093063133390515
2,5,reachable_par5_risky,Jhonattan Vegas,-0.21963606856707343
2,5,reachable_par5_risky,Joel Dahmen,-0.1973476116836368
2,5,reachable_par5_risky,Harris English,-0.06715891076810458
