player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Kris Ventura,0.03,0.186,0.026,0.12,-0.04,-0.14,0.29,78,C,87,80,74,85,92,89,1.3288986326641599,0.11960087693977438,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Tom Kim,0.03,0.195,0.026,-0.2,0.15,0.2,-0.1,78,C,82,83,85,77,92,89,1.3101439503328876,0.11791295552995988,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Rasmus Højgaard,0.0,0.124,0.003,0.18,-0.1,-0.02,-0.05,78,C,89,79,78,78,96,91,1.263524005193071,0.11371716046737639,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Sami Valimaki,0.17,0.444,0.173,-0.3,0.52,-0.16,0.55,82,B,80,88,73,90,79,85,1.2105063726382945,0.10894557353744651,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Christiaan Bezuidenhout,-0.03,0.373,-0.028,-0.38,-0.01,0.31,0.46,77,C,79,80,89,89,82,83,1.079013335661128,0.09711120020950152,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Ben Martin,-0.04,0.096,-0.04,-0.17,0.01,0.03,0.03,77,C,82,81,79,80,97,91,1.0654055765766481,0.09588650189189833,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Takumi Kanaya,-0.06,0.345,-0.057,0.14,-0.4,0.32,0.33,76,C,88,75,89,86,84,83,1.0501213938717484,0.09451092544845735,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Taylor Moore,-0.01,0.243,-0.013,0.15,-0.21,0.32,-0.12,77,C,88,77,89,77,89,87,0.868121793336192,0.07813096140025727,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Danny Walker,-0.05,0.159,-0.053,-0.04,-0.14,-0.02,0.24,77,C,85,78,78,84,94,89,0.8513084194470388,0.0766177577502335,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Chad Ramey,-0.04,0.137,-0.038,0.01,-0.11,-0.09,0.19,77,C,86,79,75,83,95,90,0.8104759345119673,0.07294283410607706,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Nate Lashley,0.02,0.124,0.016,-0.1,0.15,-0.04,-0.13,78,C,84,83,77,77,96,91,0.7839915021685315,0.07055923519516784,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Thomas Detry,-0.02,0.16,-0.022,0.17,-0.16,-0.08,0.13,77,C,88,78,76,82,94,89,0.6763826904872166,0.06087444214384949,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Noah Goodwin,-0.07,0.103,-0.068,0.0,-0.16,-0.02,0.08,76,C,85,78,78,81,97,90,0.6001807072764966,0.0540162636548847,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Justin Rose,0.04,0.227,0.042,-0.25,0.25,-0.07,0.16,79,C,81,84,76,82,90,89,0.5630053516954427,0.05067048165258985,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Steven Fisk,0.19,0.378,0.191,0.39,0.2,0.2,-0.47,82,B,92,83,85,70,82,87,0.48873468056229447,0.0439861212506065,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Jackson Suber,0.06,0.195,0.062,-0.14,0.27,-0.15,0.04,79,B,83,84,73,80,92,90,0.3449794764128444,0.031048152877155993,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Mackenzie Hughes,-0.08,0.24,-0.085,-0.2,-0.17,0.31,0.07,76,C,82,78,89,81,89,86,0.31248312753224405,0.028123481477901963,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Sam Ryder,0.01,0.368,0.008,-0.2,0.04,-0.09,0.63,78,C,82,81,75,92,83,84,0.3042237038778658,0.02738013334900792,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Andrew Putnam,0.04,0.549,0.036,-0.69,0.29,0.46,0.44,79,C,73,85,94,88,73,79,0.25530875452795154,0.02297778790751564,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Tony Finau,-0.07,0.161,-0.069,-0.09,-0.14,0.21,-0.12,76,C,84,78,85,77,94,89,0.22934837009863107,0.020641353308876797,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Joel Dahmen,0.09,0.209,0.09,0.19,0.16,-0.11,-0.24,80,B,89,83,75,75,91,90,0.22860458258285998,0.020574412432457397,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Michael Thorbjornsen,0.19,0.357,0.189,0.59,0.12,-0.23,-0.09,82,B,96,82,71,78,83,87,0.17322273499602148,0.015590046149641932,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Gary Woodland,0.2,0.36,0.197,0.25,0.36,-0.43,0.23,82,B,90,86,64,84,83,87,0.13745956049737956,0.012371360444764161,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Trey Mullinax,0.01,0.133,0.012,0.04,0.06,-0.22,0.04,78,C,86,81,71,80,95,91,0.09326916434745725,0.008394224791271152,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Brandt Snedeker,-0.04,0.348,-0.043,-0.31,-0.03,0.05,0.53,77,C,80,80,80,90,84,84,0.018423236079916083,0.0016580912471924475,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Brice Garnett,-0.11,0.192,-0.107,-0.04,-0.27,0.06,0.18,75,C,85,77,81,83,92,87,-0.07814829811821677,-0.00703334683063951,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Matti Schmid,0.05,0.251,0.046,0.11,0.06,-0.3,0.3,79,B,87,81,68,85,89,88,-0.18775285105476971,-0.016897756594929272,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Jeremy Paul,-0.11,0.095,-0.11,-0.1,-0.18,-0.0,0.02,75,D,84,78,78,80,97,89,-0.3226485931494226,-0.029038373383448036,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Min Woo Lee,-0.12,0.331,-0.123,0.01,-0.43,0.35,0.16,75,D,86,74,90,83,85,83,-0.47736383198761223,-0.0429627448788851,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Jhonattan Vegas,0.09,0.242,0.09,0.26,0.12,-0.1,-0.28,80,B,90,82,75,74,89,89,-0.4866489418977964,-0.04379840477080167,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Eric Cole,-0.01,0.331,-0.015,-0.48,0.19,0.14,0.22,77,C,77,83,83,84,85,84,-0.5185825233855206,-0.04667242710469685,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Adam Schenk,-0.05,0.091,-0.051,0.06,-0.09,-0.16,-0.05,77,C,86,79,73,78,97,91,-0.5212490108840774,-0.046912410979566964,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Greyson Sigg,0.16,0.349,0.157,0.05,0.39,0.07,-0.45,82,B,86,86,81,70,84,88,-0.586209541609652,-0.05275885874486868,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Zac Blair,0.14,0.36,0.139,-0.29,0.54,-0.02,-0.14,81,B,80,88,78,77,83,87,-0.5886082429240306,-0.05297474186316275,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Chan Kim,0.05,0.266,0.053,-0.2,0.27,0.13,-0.29,79,B,82,84,83,73,88,88,-0.6146963307019544,-0.055322669763175895,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Chandler Phillips,-0.09,0.196,-0.092,-0.3,-0.06,0.18,-0.02,76,C,80,79,85,79,92,87,-0.6639134981336203,-0.05975221483202583,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
David Skinns,0.04,0.238,0.04,-0.21,0.29,-0.04,-0.22,79,C,82,85,77,75,90,89,-0.8133227524176085,-0.07319904771758477,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Nico Echavarria,0.04,0.417,0.038,-0.06,0.08,-0.32,0.67,79,C,84,82,68,93,80,83,-0.867556045355834,-0.07808004408202505,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Ben Kohles,0.29,0.489,0.288,0.16,0.66,-0.02,-0.53,85,A,88,90,78,69,76,86,-1.0235727120181768,-0.0921215440816359,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Hayden Springer,-0.06,0.294,-0.056,0.2,-0.28,-0.16,0.34,76,C,89,76,73,86,87,85,-1.1559075466706095,-0.10403167920035485,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Luke Clanton,0.14,0.308,0.141,0.31,0.24,-0.24,-0.27,81,B,91,84,70,74,86,88,-1.2129555565364996,-0.10916600008828496,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Nick Hardy,0.03,0.184,0.025,0.13,0.09,-0.24,-0.17,78,C,88,82,70,76,92,89,-1.3380407784559982,-0.12042367006103984,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
William Mouw,-0.04,0.274,-0.04,0.3,-0.26,-0.2,0.18,77,C,90,77,72,83,88,86,-1.3555969625673305,-0.12200372663105974,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Sahith Theegala,-0.13,0.074,-0.128,-0.16,-0.13,-0.02,-0.18,75,D,83,78,78,76,98,90,-1.4362309088896354,-0.1292607818000672,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Rikuya Hoshino,-0.14,0.133,-0.137,-0.02,-0.28,-0.02,-0.0,75,D,85,76,78,79,95,88,-1.473791458803812,-0.13264123129234306,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Zach Johnson,-0.07,0.335,-0.069,-0.37,0.01,-0.05,0.45,76,C,79,81,77,88,84,83,-1.47391192884179,-0.1326520735957611,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Max Homa,-0.13,0.156,-0.134,0.0,-0.28,-0.1,0.07,75,D,85,76,75,81,94,88,-1.758104116701065,-0.15822937050309585,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Erik van Rooyen,0.02,0.248,0.019,0.19,0.02,-0.03,-0.4,78,C,89,81,78,71,89,87,-1.880082570884858,-0.16920743137963723,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Justin Lower,-0.09,0.096,-0.091,-0.1,-0.03,-0.26,-0.08,76,C,84,80,70,78,97,90,-1.9186043427962804,-0.17267439085166522,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Carson Young,0.02,0.216,0.024,0.17,0.07,-0.32,-0.12,78,C,88,81,68,77,91,89,-1.92604377575194,-0.1733439398176746,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Austin Eckroat,0.11,0.299,0.113,0.21,0.25,-0.4,-0.05,80,B,89,84,65,78,86,87,-1.939562428963074,-0.17456061860667665,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
David Lipsky,0.02,0.281,0.024,-0.26,0.27,0.09,-0.32,78,C,81,84,81,73,87,86,-1.9499477645186587,-0.17549529880667927,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Beau Hossler,-0.18,0.409,-0.181,-0.29,-0.41,0.43,0.26,74,D,80,74,93,85,80,79,-2.311220757877882,-0.20800986820900935,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Aldrich Potgieter,0.07,0.403,0.066,0.57,-0.14,-0.37,0.12,79,B,95,78,66,82,81,84,-2.50005501993473,-0.2250049517941257,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Paul Peterson,-0.12,0.375,-0.116,-0.57,0.01,0.13,0.3,75,D,76,81,83,85,82,81,-2.56379868675676,-0.2307418818081084,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Thriston Lawrence,-0.02,0.225,-0.024,0.23,-0.1,-0.12,-0.31,77,C,89,79,74,73,90,87,-2.705148909111728,-0.24346340182005552,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Ben Silverman,-0.19,0.283,-0.186,-0.03,-0.46,0.07,0.2,73,D,85,74,81,83,87,82,-2.858887336799402,-0.2572998603119462,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Doug Ghim,0.27,0.587,0.268,0.3,0.53,0.14,-0.81,84,A,91,88,83,63,71,82,-3.0040643486207954,-0.2703657913758716,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Antoine Rozner,0.15,0.373,0.148,0.06,0.46,-0.32,-0.32,81,B,87,87,68,73,82,86,-3.0264799358512304,-0.2723831942266107,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Byeong Hun An,-0.04,0.384,-0.04,0.39,-0.32,0.18,-0.4,77,C,92,76,84,71,82,83,-3.2049006738387344,-0.2884410606454861,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Joseph Bramlett,0.19,0.58,0.187,0.31,0.28,0.35,-0.84,82,B,91,84,90,62,71,81,-3.296859130114462,-0.2967173217103016,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Henrik Norlander,0.16,0.46,0.155,-0.3,0.67,-0.21,-0.24,81,B,80,90,71,75,78,84,-3.3596763364520457,-0.3023708702806841,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Quade Cummins,-0.15,0.26,-0.147,0.06,-0.34,-0.21,0.23,74,D,86,75,71,84,88,84,-3.5045258112959776,-0.315407323016638,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Patton Kizzire,-0.14,0.412,-0.138,-0.44,-0.12,0.51,-0.26,75,D,78,79,95,74,80,80,-3.5421741464582697,-0.31879567318124424,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
Taylor Montgomery,-0.16,0.676,-0.157,-0.64,-0.24,0.32,0.92,74,D,74,77,89,98,66,71,-3.576053634694838,-0.3218448271225354,water_target_tpc,"Water everywhere, target golf, punishment for big misses"
