player_name,CF_SG_per_round,CF_Index
Scottie Scheffler,6.3551129649857225,17.653091569404786
Tommy Fleetwood,4.4131721102503825,12.258811417362173
Rory McIlroy,3.700557778179835,10.279327161610654
Russell Henley,3.6791929070756075,10.219980297432244
Ben Griffin,3.488832056396566,9.691200156657128
Jordan Spieth,3.1322558223443826,8.700710617623285
Justin Thomas,3.070861208347727,8.53017002318813
Robert MacIntyre,2.961739115470619,8.227053098529497
Patrick Cantlay,2.8074775574534185,7.798548770703941
Keegan Bradley,2.7929724332738277,7.758256759093966
J.J. Spaun,2.644095945895762,7.344710960821561
Sepp Straka,2.342739280376404,6.507609112156678
Thorbjørn Olesen,2.338745182729724,6.496514396471456
Matt Fitzpatrick,2.0822648279782583,5.784068966606274
J.T. Poston,2.059203990375591,5.720011084376642
Bud Cauley,2.000894007755275,5.5580389104313195
Aaron Rai,1.9901980264977845,5.528327851382735
Alex Smalley,1.98534466775101,5.514846299308362
Harry Hall,1.9051709706117845,5.292141585032735
Maverick McNealy,1.9036268503027851,5.287852361952181
Kurt Kitayama,1.8772265174256852,5.214518103960237
Lee Hodges,1.8420231494312804,5.116730970642446
Nick Taylor,1.8360047277992344,5.1000131327756515
Michael Kim,1.790178206552884,4.972717240424678
Kevin Roy,1.669457654405425,4.6373823733484025
Corey Conners,1.659704785506821,4.610291070852281
Kevin Yu,1.6173332643827854,4.492592401063293
Patrick Fishburn,1.5765433145753411,4.379286984931503
Taylor Pendrith,1.5666955881601476,4.351932189333744
Hideki Matsuyama,1.5429505696651062,4.2859738046252955
Si Woo Kim,1.526362228038293,4.239895077884147
Jason Day,1.5053479287405644,4.181522024279346
Andrew Novak,1.4640222764851687,4.066728545792135
Ryan Fox,1.4614415719442477,4.059559922067355
Garrick Higgo,1.4456346908678,4.015651919077222
Harris English,1.418088101233485,3.9391336145374583
Adam Scott,1.3526845764203954,3.757457156723321
Cameron Young,1.3430823678815407,3.730784355226502
Ricky Castillo,1.3430134429132532,3.730592896981259
Vince Whaley,1.3382652983054801,3.7174036064041114
Collin Morikawa,1.3106776467014667,3.6407712408374078
Shane Lowry,1.3019614330110374,3.6165595361417706
Chris Gotterup,1.2747801378781722,3.5410559385504783
Brian Harman,1.2477917405332146,3.4660881681478184
Matt McCarty,1.2458118848064328,3.4605885689067577
Jake Knapp,1.2340446864826273,3.427901906896187
Rickie Fowler,1.2120928396126465,3.3669245544795734
Matt Wallace,1.1325129275088903,3.1458692430802513
Nicolai Højgaard,1.1112668256410774,3.0868522934474374
Pierceson Coody,1.100244606763018,3.056235018786161
Victor Perez,1.069658834106685,2.971274539185236
Ludvig Åberg,1.0636144099464153,2.954484472073376
Viktor Hovland,1.0612150472723088,2.947819575756413
Sam Burns,1.010870353012042,2.807973202811228
Mac Meissner,1.0088707997933588,2.802418888314886
Akshay Bhatia,1.004927244978922,2.7914645693858944
Emiliano Grillo,0.9918473479313583,2.755131522031551
Keith Mitchell,0.9803908723314395,2.7233079786984433
Matt Kuchar,0.9781530250111682,2.717091736142134
Max Greyserman,0.9710699679466268,2.697416577629519
Mark Hubbard,0.9388793159464248,2.60799809985118
Jesper Svensson,0.9195755525969241,2.554376534991456
Ryo Hisatsune,0.8885361486116629,2.46815596836573
Xander Schauffele,0.8571163774806364,2.3808788263351013
Daniel Berger,0.8464328181150912,2.35120227254192
Sam Stevens,0.838893389837132,2.330259416214256
Davis Thompson,0.813573053280394,2.2599251480010945
Patrick Rodgers,0.7888585231697032,2.1912736754713977
Lucas Glover,0.7524398809156434,2.0901107803212318
Chris Kirk,0.7511394810927583,2.0864985585909954
Max McGreevy,0.7172843395871118,1.9924564988530884
Stephan Jaeger,0.5867469745301485,1.6298527070281903
Jacob Bridgeman,0.5602066989319918,1.5561297192555328
Ryan Gerard,0.5575691930335507,1.5488033139820852
Seamus Power,0.5245174969077102,1.4569930469658616
Wyndham Clark,0.5230719234610258,1.4529775651695163
Denny McCarthy,0.5210798986625387,1.4474441629514962
Kris Ventura,0.502336613226348,1.3953794811843
Rasmus Højgaard,0.4747877491509309,1.318854858752586
Takumi Kanaya,0.4557653932927671,1.2660149813687975
Michael Thorbjornsen,0.42052047895939443,1.1681124415538735
Lanto Griffin,0.38496869944821505,1.069357498467264
Steven Fisk,0.3539826973262306,0.9832852703506406
Taylor Moore,0.32768669580134724,0.910240821670409
Sami Valimaki,0.32180113088563644,0.893892030237879
Thomas Detry,0.2781884643753998,0.7727457343761106
Tom Kim,0.26889589350737064,0.746933037520474
Chad Ramey,0.246909433912632,0.6858595386462001
Gary Woodland,0.2443619065100635,0.6787830736390653
Danny Walker,0.23458445240730877,0.651623478909191
Christiaan Bezuidenhout,0.18656615655614245,0.5182393237670624
Ben Martin,0.1825523852336504,0.5070899589823622
Joel Dahmen,0.1400680893124603,0.38907802586794527
Nate Lashley,0.13752637210319796,0.38201770028666104
Noah Goodwin,0.12649820614210236,0.35138390595028435
Sam Ryder,0.0486669419856267,0.13518594996007416
Justin Rose,0.026012559985827372,0.07225711107174271
Trey Mullinax,-0.00014530539028988708,-0.00040362608413857526
Matti Schmid,-0.0011135407239590356,-0.0030931686776639877
Jackson Suber,-0.002502656754552506,-0.006951824318201405
Mackenzie Hughes,-0.0497998259352082,-0.13833284982002278
Tony Finau,-0.05507571014524414,-0.1529880837367893
Jhonattan Vegas,-0.06519731778182007,-0.18110366050505577
Brice Garnett,-0.0822442745773953,-0.22845631827054252
Brandt Snedeker,-0.13698732558205193,-0.38052034883903313
Min Woo Lee,-0.1665231732154998,-0.46256437004305506
Greyson Sigg,-0.22151021111315838,-0.6153061419809955
Adam Schenk,-0.23120347389453375,-0.6422318719292605
Jeremy Paul,-0.2446962815228646,-0.6797118931190683
Nico Echavarria,-0.24804771315601978,-0.6890214254333883
Andrew Putnam,-0.24818435847070952,-0.6894009957519709
Ben Kohles,-0.2593495330230431,-0.7204153695084531
Luke Clanton,-0.2598478726421814,-0.7217996462282816
Hayden Springer,-0.2684127517313346,-0.745590977031485
William Mouw,-0.3072258300003078,-0.8534050833341883
Zac Blair,-0.3859764997732103,-1.0721569438144731
Chan Kim,-0.3871642475400778,-1.0754562431668828
Nick Hardy,-0.43428773938040593,-1.2063548316122388
David Skinns,-0.45282020414050794,-1.2578339003902999
Eric Cole,-0.46246373472307184,-1.2846214853418663
Chandler Phillips,-0.4731076782441689,-1.3141879951226914
Aldrich Potgieter,-0.4963863210471248,-1.378850891797569
Austin Eckroat,-0.5508615037141052,-1.5301708436502925
Rikuya Hoshino,-0.594057119884783,-1.6501586663466197
Erik van Rooyen,-0.6003126645296208,-1.6675351792489468
Carson Young,-0.6134535534419456,-1.704037648449849
Max Homa,-0.6698624907158927,-1.8607291408774795
Sahith Theegala,-0.6858827277679675,-1.9052297993554654
Zach Johnson,-0.6910329002711604,-1.9195358340865567
Justin Lower,-0.7905919406546887,-2.196088724040802
Doug Ghim,-0.8596008096013241,-2.387780026670345
Thriston Lawrence,-0.8718996785075891,-2.42194355140997
David Lipsky,-0.881523186357972,-2.4486755176610333
Byeong Hun An,-0.9219136389204444,-2.560871219223457
Niklas Norgaard,-0.937910814011453,-2.6053078166984807
Beau Hossler,-0.9609947072003634,-2.669429742223232
