player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Cam Davis,-0.21,0.141,-0.212,-0.35,-0.2,-0.12,-0.01,73,D,79,78,74,79,95,87,-4.086766336384569,-0.3678089702746112,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Harry Higgs,-0.12,0.192,-0.121,0.05,-0.18,-0.37,0.0,75,D,86,78,66,79,92,87,-4.117602010493162,-0.37058418094438456,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Joe Highsmith,-0.22,0.125,-0.222,-0.1,-0.36,-0.12,-0.12,73,D,84,75,74,77,96,87,-4.1565800357543266,-0.3740922032178894,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Tom Hoge,-0.06,0.382,-0.057,-0.61,0.31,-0.01,-0.12,76,C,75,85,78,77,82,82,-4.358904837059302,-0.3923014353353371,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Thomas Rosenmueller,0.17,0.515,0.17,0.35,0.41,-0.38,-0.61,82,B,91,86,65,67,75,83,-4.6970127641862485,-0.4227311487767623,classic_ballstriker,"Classic shot-making course, ball-striking premium"
John Pak,-0.05,0.332,-0.047,-0.28,0.21,-0.02,-0.55,77,C,80,83,78,68,85,84,-4.787506009170427,-0.4308755408253384,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Karl Vilips,-0.13,0.194,-0.13,-0.28,0.04,-0.15,-0.41,75,D,80,81,73,71,92,87,-4.791530095752051,-0.4312377086176845,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Taylor Montgomery,-0.16,0.676,-0.157,-0.64,-0.24,0.32,0.92,74,D,74,77,89,98,66,71,-4.808887914370687,-0.43279991229336184,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Adam Hadwin,-0.25,0.218,-0.251,-0.15,-0.46,-0.05,0.05,72,D,83,74,77,80,91,84,-4.851004602831393,-0.43659041425482537,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Isaiah Salinda,0.02,0.46,0.018,0.52,-0.13,-0.11,-0.61,78,C,94,78,75,67,78,81,-5.014314417849034,-0.45128829760641304,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Matteo Manassero,-0.08,0.686,-0.078,-0.98,0.27,0.61,0.01,76,C,68,84,99,80,65,72,-5.294346246531238,-0.4764911621878114,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Davis Riley,-0.29,0.389,-0.287,-0.46,-0.46,0.27,0.16,71,D,78,74,87,82,81,77,-6.137947559003676,-0.5524152803103308,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Hayden Buckley,-0.12,0.261,-0.12,0.11,-0.13,-0.29,-0.51,75,D,87,79,69,69,88,84,-6.17397536600797,-0.5556577829407173,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Kevin Velo,-0.2,0.231,-0.202,-0.02,-0.29,-0.09,-0.53,73,D,85,76,75,69,90,84,-6.357500373758592,-0.5721750336382733,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Camilo Villegas,-0.22,0.389,-0.217,-0.74,-0.02,0.04,0.08,73,D,73,80,80,81,81,79,-6.637642884705306,-0.5973878596234775,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Sungjae Im,-0.26,0.672,-0.26,0.31,-0.98,0.53,0.09,72,D,91,66,96,81,66,70,-6.905170597100242,-0.6214653537390218,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Tim Widing,-0.25,0.171,-0.255,-0.01,-0.38,-0.36,-0.25,72,D,85,75,66,74,93,85,-7.217540165606886,-0.6495786149046198,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Matthew Riedel,-0.25,0.194,-0.246,-0.08,-0.31,-0.49,-0.09,72,D,84,76,62,77,92,84,-7.691916287511769,-0.6922724658760592,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Brian Campbell,-0.27,0.57,-0.273,-1.01,-0.03,0.13,0.23,71,D,68,80,83,84,72,72,-9.283836542680703,-0.8355452888412632,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Rafael Campos,-0.4,0.189,-0.404,-0.39,-0.53,-0.28,-0.08,68,D,79,73,69,78,92,81,-9.52767869855213,-0.8574910828696917,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Matthieu Pavon,-0.29,0.311,-0.294,-0.01,-0.48,-0.55,0.05,71,D,85,74,60,80,86,80,-9.718171760461898,-0.8746354584415708,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Taylor Dickson,-0.42,0.222,-0.419,-0.3,-0.62,-0.08,-0.39,68,D,80,71,76,72,90,80,-10.13745384490201,-0.9123708460411809,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Kaito Onishi,-0.4,0.345,-0.398,-0.72,-0.38,-0.13,0.08,68,D,73,75,74,81,84,76,-10.495120652718164,-0.9445608587446347,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Cristobal Del Solar,-0.43,0.33,-0.427,-0.66,-0.46,-0.22,0.11,68,D,74,74,71,82,85,77,-10.917116408589479,-0.982540476773053,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Peter Malnati,-0.45,0.512,-0.449,-0.71,-0.64,0.33,0.03,67,D,73,71,90,80,75,70,-10.999511335587641,-0.9899560202028876,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Mason Andersen,-0.5,0.422,-0.498,-0.46,-0.82,0.09,-0.02,66,D,77,69,81,79,80,72,-11.980303531436071,-1.0782273178292463,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Will Chandler,-0.46,0.416,-0.463,-0.09,-0.92,0.01,-0.24,67,D,84,67,79,74,80,73,-12.116961177560817,-1.0905265059804736,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Braden Thornberry,-0.53,0.58,-0.527,-0.6,-0.88,0.06,0.38,65,D,75,68,80,87,71,66,-13.786003305668284,-1.2407402975101456,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Nick Dunlap,-0.36,0.788,-0.361,-1.47,0.13,0.07,0.11,69,D,60,82,81,82,60,64,-15.033602107249468,-1.353024189652452,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Frankie Capan III,-0.62,0.734,-0.616,-1.19,-0.67,-0.03,0.49,63,D,65,71,77,89,63,60,-18.125428403525422,-1.6312885563172879,classic_ballstriker,"Classic shot-making course, ball-striking premium"
Ryan Palmer,-0.75,0.66,-0.75,-0.03,-1.42,-0.11,-0.87,60,D,85,60,75,62,67,60,-23.177389319903646,-2.085965038791328,classic_ballstriker,"Classic shot-making course, ball-striking premium"
