player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Ben Martin,-0.04,0.096,-0.04,-0.17,0.01,0.03,0.03,77,C,82,81,79,80,97,91,0.9172278793546731,0.08255050914192058,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Nico Echavarria,0.04,0.417,0.038,-0.06,0.08,-0.32,0.67,79,C,84,82,68,93,80,83,0.9126745207730413,0.08214070686957371,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Taylor Montgomery,-0.16,0.676,-0.157,-0.64,-0.24,0.32,0.92,74,D,74,77,89,98,66,71,0.8972012863209033,0.0807481157688813,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Mackenzie Hughes,-0.08,0.24,-0.085,-0.2,-0.17,0.31,0.07,76,C,82,78,89,81,89,86,0.8829091501729259,0.07946182351556333,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Keith Mitchell,0.21,0.31,0.207,0.53,0.17,-0.19,-0.01,83,B,95,83,72,79,86,90,0.8133621998662296,0.07320259798796067,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Jesper Svensson,0.12,0.306,0.117,0.55,-0.13,0.09,-0.06,81,B,95,79,81,78,86,88,0.7426347579391603,0.06683712821452442,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Seamus Power,0.06,0.143,0.057,0.06,0.11,0.08,-0.2,79,B,86,82,81,75,95,92,0.7171716373939578,0.0645454473654562,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Chad Ramey,-0.04,0.137,-0.038,0.01,-0.11,-0.09,0.19,77,C,86,79,75,83,95,90,0.6975836106387575,0.06278252495748818,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Daniel Berger,0.29,0.351,0.286,0.41,0.46,-0.19,-0.15,85,A,93,87,72,76,83,90,0.6099910992393156,0.054899198931538405,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Ryan Gerard,0.23,0.316,0.231,0.16,0.46,0.05,-0.31,83,A,88,87,80,73,85,89,0.5394324625884029,0.048548921632956266,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Pierceson Coody,0.25,0.414,0.249,0.79,0.06,-0.01,-0.13,84,A,99,81,78,77,80,87,0.4675416455755957,0.04207874810180361,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Taylor Moore,-0.01,0.243,-0.013,0.15,-0.21,0.32,-0.12,77,C,88,77,89,77,89,87,0.4076130655653354,0.03668517590088018,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Max McGreevy,0.13,0.234,0.129,0.4,0.07,-0.11,-0.08,81,B,92,81,75,78,90,91,0.4003006392994339,0.03602705753694905,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Davis Thompson,0.17,0.311,0.169,0.46,0.09,0.14,-0.3,82,B,93,82,83,73,86,89,0.32529023805114177,0.029276121424602758,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Rasmus Højgaard,0.0,0.124,0.003,0.18,-0.1,-0.02,-0.05,78,C,89,79,78,78,96,91,0.31263007230372963,0.028136706507335667,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Thomas Detry,-0.02,0.16,-0.022,0.17,-0.16,-0.08,0.13,77,C,88,78,76,82,94,89,0.2993542855865282,0.02694188570278754,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Noah Goodwin,-0.07,0.103,-0.068,0.0,-0.16,-0.02,0.08,76,C,85,78,78,81,97,90,0.2867789169552356,0.025810102525971202,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Zach Johnson,-0.07,0.335,-0.069,-0.37,0.01,-0.05,0.45,76,C,79,81,77,88,84,83,0.27453947461251316,0.024708552715126182,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Jackson Suber,0.06,0.195,0.062,-0.14,0.27,-0.15,0.04,79,B,83,84,73,80,92,90,0.27248764559576677,0.02452388810361901,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Min Woo Lee,-0.12,0.331,-0.123,0.01,-0.43,0.35,0.16,75,D,86,74,90,83,85,83,0.18477067417692394,0.016629360675923154,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Brice Garnett,-0.11,0.192,-0.107,-0.04,-0.27,0.06,0.18,75,C,85,77,81,83,92,87,0.17887082695522638,0.016098374425970372,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Nate Lashley,0.02,0.124,0.016,-0.1,0.15,-0.04,-0.13,78,C,84,83,77,77,96,91,0.1631478361729447,0.014683305255565023,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Gary Woodland,0.2,0.36,0.197,0.25,0.36,-0.43,0.23,82,B,90,86,64,84,83,87,0.1277732688921615,0.011499594200294535,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Matti Schmid,0.05,0.251,0.046,0.11,0.06,-0.3,0.3,79,B,87,81,68,85,89,88,-0.016069489684505417,-0.0014462540716054875,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Tony Finau,-0.07,0.161,-0.069,-0.09,-0.14,0.21,-0.12,76,C,84,78,85,77,94,89,-0.14352014571920502,-0.012916813114728452,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Zac Blair,0.14,0.36,0.139,-0.29,0.54,-0.02,-0.14,81,B,80,88,78,77,83,87,-0.23045231651425685,-0.020740708486283115,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Chandler Phillips,-0.09,0.196,-0.092,-0.3,-0.06,0.18,-0.02,76,C,80,79,85,79,92,87,-0.3165180067557381,-0.02848662060801643,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Trey Mullinax,0.01,0.133,0.012,0.04,0.06,-0.22,0.04,78,C,86,81,71,80,95,91,-0.4487968770647497,-0.04039171893582747,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Beau Hossler,-0.18,0.409,-0.181,-0.29,-0.41,0.43,0.26,74,D,80,74,93,85,80,79,-0.5392023029943918,-0.048528207269495256,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Jeremy Paul,-0.11,0.095,-0.11,-0.1,-0.18,-0.0,0.02,75,D,84,78,78,80,97,89,-0.5887274170068475,-0.052985467530616275,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Paul Peterson,-0.12,0.375,-0.116,-0.57,0.01,0.13,0.3,75,D,76,81,83,85,82,81,-0.6010750463499016,-0.054096754171491145,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Hayden Springer,-0.06,0.294,-0.056,0.2,-0.28,-0.16,0.34,76,C,89,76,73,86,87,85,-0.8231414132215553,-0.07408272718993998,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
Steven Fisk,0.19,0.378,0.191,0.39,0.2,0.2,-0.47,82,B,92,83,85,70,82,87,-0.8968352992702452,-0.08071517693432206,wedge_birdiefest,"Short-ish birdiefest, tons of wedges and low scores"
