player_name,Tier,TalentScore,OverallRating,win_pct,top5_pct,avg_finish
Scottie Scheffler,S,0.89,99,97.86666666666667,100.0,1.024
Tommy Fleetwood,S,0.47,89,1.5666666666666667,87.73333333333333,3.345
Ben Griffin,A,0.33,86,0.16666666666666669,40.1,8.887333333333334
Patrick Cantlay,S,0.36,86,0.13333333333333333,24.633333333333333,11.541333333333334
Russell Henley,S,0.37,87,0.1,54.6,6.789666666666666
Viktor Hovland,S,0.43,88,0.03333333333333333,2.533333333333333,31.118666666666666
Sepp Straka,S,0.39,87,0.03333333333333333,9.966666666666667,17.470333333333333
J.J. Spaun,S,0.43,88,0.03333333333333333,25.266666666666666,12.226666666666667
Si Woo Kim,A,0.31,85,0.03333333333333333,2.2333333333333334,28.242333333333335
Kurt Kitayama,A,0.33,86,0.03333333333333333,5.466666666666667,22.154
Rico Hoey,S,0.4,87,0.0,0.03333333333333333,61.904
Collin Morikawa,S,0.45,89,0.0,4.6,25.567666666666668
Rory McIlroy,A,0.35,86,0.0,32.43333333333333,10.118
Shane Lowry,A,0.36,86,0.0,2.1999999999999997,29.924333333333333
Aaron Rai,A,0.33,86,0.0,6.366666666666666,20.738666666666667
Nicolai Højgaard,A,0.31,85,0.0,0.46666666666666673,37.87433333333333
Kevin Yu,A,0.3,85,0.0,1.9,30.047333333333334
Ben Kohles,A,0.29,85,0.0,0.1,55.225
Daniel Berger,A,0.29,85,0.0,0.4,40.093666666666664
Keegan Bradley,A,0.28,84,0.0,16.733333333333334,14.810666666666666
Doug Ghim,A,0.27,84,0.0,0.0,62.675
Xander Schauffele,A,0.26,84,0.0,0.3,39.195
Akshay Bhatia,A,0.26,84,0.0,0.16666666666666669,43.33866666666667
Robert MacIntyre,A,0.25,84,0.0,17.933333333333334,13.647
Pierceson Coody,A,0.25,84,0.0,0.13333333333333333,43.722
Corey Conners,A,0.25,84,0.0,1.1666666666666667,31.402666666666665
Lee Hodges,A,0.25,84,0.0,2.7333333333333334,26.290333333333333
Jordan Spieth,A,0.24,84,0.0,24.266666666666666,11.753666666666666
Justin Thomas,A,0.24,84,0.0,16.933333333333334,14.492333333333333
Lucas Glover,A,0.23,83,0.0,0.2,43.74666666666667
Hideki Matsuyama,A,0.23,83,0.0,0.6,34.38433333333333
Victor Perez,A,0.23,83,0.0,0.13333333333333333,42.632
Ryan Gerard,A,0.23,83,0.0,0.06666666666666667,46.132666666666665
Bud Cauley,A,0.23,83,0.0,3.1,25.484
Nick Taylor,A,0.22,83,0.0,1.7333333333333332,29.238
Taylor Pendrith,A,0.22,83,0.0,0.5,35.485
Keith Mitchell,B,0.21,83,0.0,0.13333333333333333,44.86666666666667
Maverick McNealy,B,0.21,83,0.0,1.1333333333333333,32.23733333333333
Michael Kim,B,0.2,83,0.0,1.7666666666666668,29.232
Chris Kirk,B,0.2,83,0.0,0.2,43.66733333333333
Thorbjørn Olesen,B,0.2,83,0.0,2.833333333333333,25.768
Gary Woodland,B,0.2,82,0.0,0.03333333333333333,59.19833333333333
Steven Fisk,B,0.19,82,0.0,0.03333333333333333,52.626
Michael Thorbjornsen,B,0.19,82,0.0,0.0,55.716
Joseph Bramlett,B,0.19,82,0.0,0.0,68.112
Alex Smalley,B,0.18,82,0.0,1.5333333333333332,29.163333333333334
Emiliano Grillo,B,0.18,82,0.0,0.03333333333333333,47.897333333333336
Adam Scott,B,0.18,82,0.0,0.4333333333333333,36.87733333333333
Sami Valimaki,B,0.17,82,0.0,0.0,62.261
Thomas Rosenmueller,B,0.17,82,0.0,0.0,75.19366666666667
Davis Thompson,B,0.17,82,0.0,0.13333333333333333,47.678333333333335
Chris Gotterup,B,0.17,82,0.0,0.06666666666666667,43.263
Ludvig Åberg,B,0.16,82,0.0,0.0,47.01566666666667
Greyson Sigg,B,0.16,82,0.0,0.0,59.73833333333334
Henrik Norlander,B,0.16,81,0.0,0.0,72.876
Patrick Fishburn,B,0.15,81,0.0,0.4333333333333333,38.230666666666664
Antoine Rozner,B,0.15,81,0.0,0.0,70.072
Ricky Castillo,B,0.14,81,0.0,0.3,40.299
Ryan Fox,B,0.14,81,0.0,0.23333333333333336,38.74166666666667
Luke Clanton,B,0.14,81,0.0,0.0,63.086333333333336
Mac Meissner,B,0.14,81,0.0,0.0,46.798
Zac Blair,B,0.14,81,0.0,0.0,65.124
Matt Fitzpatrick,B,0.13,81,0.0,0.8333333333333334,31.995333333333335
Max McGreevy,B,0.13,81,0.0,0.0,52.37266666666667
Kevin Roy,B,0.12,81,0.0,0.33333333333333337,38.074
Harry Hall,B,0.12,81,0.0,0.13333333333333333,50.955333333333336
Jesper Svensson,B,0.12,81,0.0,0.0,52.185
J.T. Poston,B,0.11,81,0.0,1.3,28.419333333333334
Austin Eckroat,B,0.11,80,0.0,0.0,68.83233333333334
Ryo Hisatsune,B,0.11,80,0.0,0.06666666666666667,46.699666666666666
Jake Knapp,B,0.11,80,0.0,0.03333333333333333,51.82333333333333
Rickie Fowler,B,0.1,80,0.0,0.16666666666666669,44.499
Cameron Young,B,0.1,80,0.0,0.0,54.86566666666667
Jhonattan Vegas,B,0.09,80,0.0,0.0,62.85033333333333
Joel Dahmen,B,0.09,80,0.0,0.0,59.009
Harris English,B,0.09,80,0.0,0.03333333333333333,49.967
Sam Burns,B,0.09,80,0.0,0.0,65.95033333333333
Denny McCarthy,B,0.08,80,0.0,0.0,66.55966666666667
Matt Wallace,B,0.07,79,0.0,0.03333333333333333,50.95633333333333
Garrick Higgo,B,0.07,79,0.0,0.03333333333333333,55.524
