player_name,mu,sigma,form,sg_ott,sg_app,sg_arg,sg_putt,OverallRating,Tier,Power,Approach,ShortGame,Putting,Consistency,DogFactor,CF_Z,CF_SG_per_round,course_profile,course_description
Emiliano Grillo,0.18,0.265,0.181,0.18,0.3,-0.26,0.29,82,B,89,85,70,85,88,90,2.3156468399020786,0.20840821559118708,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Patrick Rodgers,-0.0,0.115,-0.002,0.12,-0.13,0.11,0.04,78,C,87,79,82,80,96,91,2.2834007729234065,0.20550606956310657,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Pierceson Coody,0.25,0.414,0.249,0.79,0.06,-0.01,-0.13,84,A,99,81,78,77,80,87,2.265283216811982,0.20387548951307835,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Seamus Power,0.06,0.143,0.057,0.06,0.11,0.08,-0.2,79,B,86,82,81,75,95,92,2.2322264702892376,0.20090038232603138,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Ryan Gerard,0.23,0.316,0.231,0.16,0.46,0.05,-0.31,83,A,88,87,80,73,85,89,2.155214233028596,0.19396928097257363,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Garrick Higgo,0.07,0.329,0.069,0.13,-0.11,0.11,0.66,79,B,88,79,82,93,85,86,2.0669620968626954,0.18602658871764258,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Max McGreevy,0.13,0.234,0.129,0.4,0.07,-0.11,-0.08,81,B,92,81,75,78,90,91,2.0633552881451993,0.18570197593306792,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Jesper Svensson,0.12,0.306,0.117,0.55,-0.13,0.09,-0.06,81,B,95,79,81,78,86,88,1.9689536249991244,0.17720582624992118,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Matt Kuchar,0.04,0.276,0.041,-0.26,0.1,0.26,0.37,79,C,81,82,87,87,88,88,1.8894531713082445,0.170050785417742,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Cameron Young,0.1,0.35,0.099,0.32,-0.12,-0.03,0.64,80,B,91,79,77,92,84,86,1.8301112985047914,0.1647100168654312,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Sam Stevens,0.01,0.237,0.011,0.3,-0.25,0.18,0.06,78,C,91,77,85,81,90,88,1.686527239635486,0.15178745156719373,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Rasmus Højgaard,0.0,0.124,0.003,0.18,-0.1,-0.02,-0.05,78,C,89,79,78,78,96,91,1.6591092049688694,0.14931982844719824,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Lanto Griffin,0.04,0.137,0.035,-0.08,0.15,-0.14,0.1,79,C,84,83,74,81,95,92,1.5358185303678815,0.13822366773310932,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Steven Fisk,0.19,0.378,0.191,0.39,0.2,0.2,-0.47,82,B,92,83,85,70,82,87,1.3372502292557016,0.12035252063301313,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Nate Lashley,0.02,0.124,0.016,-0.1,0.15,-0.04,-0.13,78,C,84,83,77,77,96,91,1.3128144507749855,0.1181533005697487,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Tom Kim,0.03,0.195,0.026,-0.2,0.15,0.2,-0.1,78,C,82,83,85,77,92,89,1.304811920989827,0.11743307288908443,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Stephan Jaeger,0.05,0.31,0.054,-0.37,0.22,0.27,0.25,79,B,79,84,88,84,86,87,1.190832422513223,0.10717491802619006,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Ben Martin,-0.04,0.096,-0.04,-0.17,0.01,0.03,0.03,77,C,82,81,79,80,97,91,1.1425054352062107,0.10282548916855896,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Joel Dahmen,0.09,0.209,0.09,0.19,0.16,-0.11,-0.24,80,B,89,83,75,75,91,90,1.1160322879055573,0.10044290591150015,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Kris Ventura,0.03,0.186,0.026,0.12,-0.04,-0.14,0.29,78,C,87,80,74,85,92,89,1.0948959024731244,0.0985406312225812,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Michael Thorbjornsen,0.19,0.357,0.189,0.59,0.12,-0.23,-0.09,82,B,96,82,71,78,83,87,0.9105329332511571,0.08194796399260414,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Jacob Bridgeman,-0.02,0.23,-0.023,-0.09,-0.11,0.1,0.39,77,C,84,79,82,87,90,87,0.7953806930756219,0.07158426237680597,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Thomas Detry,-0.02,0.16,-0.022,0.17,-0.16,-0.08,0.13,77,C,88,78,76,82,94,89,0.7673763065828776,0.06906386759245899,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Wyndham Clark,-0.04,0.246,-0.042,0.09,-0.28,0.3,0.14,77,C,87,76,88,82,89,87,0.7552273467290528,0.06797046120561474,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Taylor Moore,-0.01,0.243,-0.013,0.15,-0.21,0.32,-0.12,77,C,88,77,89,77,89,87,0.7507868737740615,0.06757081863966553,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Chad Ramey,-0.04,0.137,-0.038,0.01,-0.11,-0.09,0.19,77,C,86,79,75,83,95,90,0.7178577987020635,0.06460720188318571,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Noah Goodwin,-0.07,0.103,-0.068,0.0,-0.16,-0.02,0.08,76,C,85,78,78,81,97,90,0.704334418801768,0.06339009769215911,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Jackson Suber,0.06,0.195,0.062,-0.14,0.27,-0.15,0.04,79,B,83,84,73,80,92,90,0.6279317151264622,0.056513854361381594,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Trey Mullinax,0.01,0.133,0.012,0.04,0.06,-0.22,0.04,78,C,86,81,71,80,95,91,0.598039031325418,0.05382351281928762,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
Jhonattan Vegas,0.09,0.242,0.09,0.26,0.12,-0.1,-0.28,80,B,90,82,75,74,89,89,0.5097231422330769,0.04587508280097692,penal_driving_us_open_style,"Narrow, thick rough, brutal misses"
