player_name,CF_SG_per_round,CF_Index
Ryan Fox,5.450965132674494,13.627412831686234
Scottie Scheffler,5.363116610297164,13.407791525742908
Jordan Spieth,4.734085162558464,11.83521290639616
Justin Thomas,4.608958979518991,11.522397448797477
Adam Scott,4.280389488429695,10.700973721074238
Andrew Novak,4.095855169719419,10.239637924298547
Jesper Svensson,3.8943051045106216,9.735762761276554
Adam Schenk,3.7897049435304027,9.474262358826007
Max Greyserman,3.7723350291469773,9.430837572867443
Keegan Bradley,3.6374365781061186,9.093591445265297
Xander Schauffele,3.608219474401095,9.020548686002737
Rory McIlroy,3.275050223343606,8.187625558359015
Patrick Cantlay,3.1588952070368594,7.897238017592148
Justin Rose,3.1530876505080396,7.882719126270098
Kurt Kitayama,3.1177318684512048,7.794329671128011
Wyndham Clark,3.095966662555879,7.739916656389696
Cameron Young,2.953050544984524,7.382626362461309
Erik van Rooyen,2.7707726734708853,6.926931683677213
Danny Walker,2.740274807174786,6.8506870179369646
Taylor Pendrith,2.682342344997671,6.705855862494177
Tom Kim,2.4403187364728027,6.100796841182007
Rasmus Højgaard,2.40560255524702,6.014006388117549
Min Woo Lee,2.4013230952533355,6.003307738133339
Jake Knapp,2.388908694438394,5.972271736095985
Matt Wallace,2.3887857659845197,5.971964414961299
Hideki Matsuyama,2.299206671103461,5.7480166777586525
Tony Finau,2.263778053544367,5.659445133860917
Tommy Fleetwood,2.216734913861205,5.541837284653012
Robert MacIntyre,2.206924134346888,5.51731033586722
Brian Harman,2.1619158059120243,5.40478951478006
Ricky Castillo,2.1501852296818,5.375463074204499
Sahith Theegala,2.08828657437019,5.220716435925476
Matt Kuchar,2.0774125499244738,5.193531374811184
Bud Cauley,2.0637309150493857,5.159327287623464
Jhonattan Vegas,2.037046001845551,5.092615004613877
Lanto Griffin,2.0195078462053573,5.048769615513393
Harry Hall,2.019239538160909,5.048098845402272
Michael Kim,1.7803284599542715,4.4508211498856785
J.T. Poston,1.7319635545298393,4.329908886324598
Hayden Springer,1.6408166211210728,4.102041552802682
Maverick McNealy,1.6037500908377158,4.0093752270942895
Stephan Jaeger,1.5580785534065615,3.8951963835164034
Ben Griffin,1.4928101433649836,3.732025358412459
Patrick Rodgers,1.3820056967289327,3.4550142418223313
Nicolai Højgaard,1.2697390258720764,3.174347564680191
Mackenzie Hughes,1.2624574338096701,3.156143584524175
Aldrich Potgieter,1.2416935310532349,3.1042338276330868
J.J. Spaun,1.2174875082126888,3.0437187705317217
Chris Kirk,1.1233415282355323,2.808353820588831
Beau Hossler,1.083351418726936,2.70837854681734
Trey Mullinax,1.0432955215422324,2.608238803855581
